date,start,peak,end,class,active_region
2024-01-01,0134,0138,0142,C4.1,
2024-01-01,0751,0806,0820,C4.7,3536
2024-01-01,0833,0854,0904,M2.3,3536
2024-01-01,1015,1020,1025,C1.9,
2024-01-01,1154,1225,1235,M4.7,3536
2024-01-01,1617,1628,1646,C2.6,3536
2024-01-01,1647,1704,1716,C5.7,3536
2024-01-01,1830,1841,1853,C1.3,3536
2024-01-01,1938,1951,1959,C1.7,3536
2024-01-01,1959,2004,2010,C2.1,3533
2024-01-01,2010,2015,2020,C2.3,3536
2024-01-01,2152,2207,2230,C1.5,3537
2024-01-02,0041,0049,0114,C1.5,3537
2024-01-02,0431,0437,0445,C1.5,3537
2024-01-02,0551,0606,0636,C1.4,3536
2024-01-02,0638,0651,0701,C2.0,3536
2024-01-02,0710,0715,0719,C2.0,3537
2024-01-02,0735,0743,0754,C1.0,3535
2024-01-02,0921,0932,0938,C2.8,3536
2024-01-02,0948,0952,0956,C2.5,3536
2024-01-02,1022,1030,1036,C1.2,3535
2024-01-02,1342,1345,1349,C1.2,3535
2024-01-02,1802,1830,1856,M1.1,3536
2024-01-02,2156,2203,2209,C1.1,3536
2024-01-03,0254,0259,0305,C1.2,3536
2024-01-03,1000,1010,1014,C1.8,3536
2024-01-03,1014,1018,1024,C3.0,3536
2024-01-03,1329,1334,1344,C1.3,3536
2024-01-03,1442,1457,1515,C1.8,3537
2024-01-03,1613,1621,1628,C1.3,3538
2024-01-03,1649,1656,1708,C1.5,3538
2024-01-03,1938,1958,2011,C2.6,3536
2024-01-03,2246,2253,2257,C1.1,3538
2024-01-03,2359,0010,0013,C1.4,3536
2024-01-04,0013,0025,0051,C2.1,3536
2024-01-04,0108,0116,0122,M1.1,3536
2024-01-04,0122,0155,0212,M3.8,3536
2024-01-04,0719,0728,0748,C1.5,
2024-01-04,0855,0906,0916,C1.7,3538
2024-01-04,0916,0936,0942,C3.0,
2024-01-04,1020,1030,1035,C2.2,3536
2024-01-04,1720,1731,1739,C3.3,3538
2024-01-04,2237,2248,2258,C2.5,3540
2024-01-05,0032,0052,0108,C3.2,3536
2024-01-05,0243,0251,0256,C1.7,3536
2024-01-05,0418,0425,0430,C1.6,3540
2024-01-05,0755,0809,0819,C3.7,3534
2024-01-05,1249,1256,1300,C1.4,3540
2024-01-05,2157,2203,2210,C1.4,3540
2024-01-06,0041,0052,0100,C1.7,
2024-01-06,0431,0450,0502,C5.2,3538
2024-01-06,0528,0537,0541,C3.3,3536
2024-01-06,0541,0547,0553,C3.8,3536
2024-01-06,0553,0559,0604,C4.1,3536
2024-01-06,0742,0747,0752,C2.9,3536
2024-01-06,0817,0825,0831,C3.0,3540
2024-01-06,1053,1058,1102,C2.1,3538
2024-01-06,1138,1144,1154,C2.5,3538
2024-01-06,1527,1535,1540,C7.1,3538
2024-01-06,1626,1633,1640,C2.3,
2024-01-06,1713,1721,1725,C2.1,3538
2024-01-06,1826,1840,1843,C3.4,3538
2024-01-06,1927,1936,1940,C4.5,3538
2024-01-06,2002,2006,2012,C2.6,3538
2024-01-06,2153,2159,2205,C1.7,3540
2024-01-06,2239,2244,2251,C1.4,3538
2024-01-07,0152,0222,0224,C2.3,3359
2024-01-07,0224,0229,0237,C2.3,3359
2024-01-07,0411,0418,0424,C1.6,3540
2024-01-07,0517,0529,0541,C2.7,3536
2024-01-07,0557,0605,0625,C2.4,3536
2024-01-07,0627,0636,0644,C3.1,3536
2024-01-07,0731,0748,0752,C5.6,3536
2024-01-07,0752,0756,0800,C6.3,3536
2024-01-07,0826,0833,0842,C3.2,3536
2024-01-07,0958,1005,1009,C2.2,3536
2024-01-07,1009,1016,1030,C3.0,3536
2024-01-07,1044,1051,1056,C2.9,3536
2024-01-07,1329,1342,1355,C4.2,3536
2024-01-07,1516,1520,1530,C1.7,3538
2024-01-07,1741,1744,1749,C3.8,3538
2024-01-07,2052,2103,2116,C3.3,3538
2024-01-07,2211,2225,2237,C8.7,3534
2024-01-08,0248,0252,0259,C2.4,3540
2024-01-08,0800,0807,0813,C1.7,3538
2024-01-08,0813,0824,0838,C2.8,3542
2024-01-08,0946,0959,1015,C7.3,3539
2024-01-08,1511,1522,1533,C2.9,3542
2024-01-08,1542,1550,1559,C5.7,3538
2024-01-08,1915,1930,1941,C4.0,3538
2024-01-08,2054,2107,2110,C2.0,3538
2024-01-08,2110,2116,2120,C2.1,3538
2024-01-08,2120,2124,2128,C2.1,3538
2024-01-09,0243,0249,0255,C1.9,3541
2024-01-09,0401,0411,0414,C3.1,3538
2024-01-09,0836,0850,0859,C2.5,3538
2024-01-09,1107,1123,1134,C3.8,3541
2024-01-09,1446,1454,1457,C1.9,3538
2024-01-09,1457,1503,1507,C1.9,3538
2024-01-09,1702,1710,1719,C2.7,3538
2024-01-09,1900,1905,1913,C1.8,3536
2024-01-09,1932,1936,1943,C3.9,3538
2024-01-09,2351,2356,0000,C2.4,3536
2024-01-10,0202,0212,0230,C3.3,3546
2024-01-10,0240,0246,0250,C3.2,3538
2024-01-10,0307,0316,0318,C5.4,
2024-01-10,0318,0325,0329,C9.6,3538
2024-01-10,0429,0433,0437,C7.0,3538
2024-01-10,0533,0545,0602,C7.0,
2024-01-10,0648,0656,0703,C6.6,
2024-01-10,0856,0903,0923,C3.5,
2024-01-10,0959,1006,1010,C5.2,3538
2024-01-10,1239,1255,1305,M1.4,
2024-01-10,1412,1427,1441,C4.5,
2024-01-10,1510,1515,1520,C4.0,
2024-01-10,1856,1907,1916,C6.5,3536
2024-01-10,1953,2000,2005,C3.0,3538
2024-01-10,2028,2041,2100,C5.6,
2024-01-10,2153,2201,2205,C6.0,
2024-01-10,2318,2328,2335,M1.9,3538
2024-01-11,0108,0112,0118,C5.2,3539
2024-01-11,0339,0343,0348,C4.6,3546
2024-01-11,0406,0415,0422,C3.1,3539
2024-01-11,0615,0619,0626,C7.8,3539
2024-01-11,0807,0820,0842,C4.1,3540
2024-01-11,0854,0901,0910,C6.4,3539
2024-01-11,1002,1009,1014,C3.0,3539
2024-01-11,1031,1042,1050,C3.9,3538
2024-01-11,1124,1134,1139,C4.2,
2024-01-11,1158,1209,1225,C9.4,3538
2024-01-11,1244,1251,1255,M1.3,3538
2024-01-11,1559,1611,1618,C3.6,3538
2024-01-11,1618,1632,1643,C6.4,
2024-01-11,1643,1646,1650,C8.3,
2024-01-11,1749,1752,1759,M1.5,3539
2024-01-11,1908,1923,1949,M1.2,3538
2024-01-11,2245,2254,2300,C3.6,3539
2024-01-11,2300,2311,2320,C4.6,3539
2024-01-12,0255,0258,0302,M1.0,3547
2024-01-12,0350,0359,0410,C5.7,3539
2024-01-12,0410,0415,0419,C6.0,3548
2024-01-12,0608,0615,0622,C3.8,3548
2024-01-12,0623,0628,0633,C4.4,3539
2024-01-12,0814,0820,0824,C3.7,3539
2024-01-12,0959,1006,1011,C5.9,3541
2024-01-12,1103,1115,1136,C3.9,3537
2024-01-12,1136,1142,1151,C3.8,3536
2024-01-12,1532,1538,1553,C3.2,3539
2024-01-12,1701,1716,1736,C4.7,3538
2024-01-12,2226,2240,2302,C3.8,3538
